GC100m;Year;Total population in cell
3613350N4484050E;2011;39
3613350N4484150E;2011;33
3613350N4485050E;2011;1-5
3613350N4485150E;2011;1-5
3613350N4487050E;2011;5-10
3613350N4487150E;2011;42
3613350N4487250E;2011;5-10
3613350N4488350E;2011;5-10
3613350N4488450E;2011;15-20
3613350N4488550E;2011;33
3613350N4488650E;2011;45
3613350N4488750E;2011;47
3613350N4488850E;2011;36
3613350N4488950E;2011;23
3613350N4489050E;2011;32
3613350N4489150E;2011;33
3613350N4489250E;2011;37
3613350N4489350E;2011;43
3613350N4489450E;2011;59
3613350N4489550E;2011;5-10
3613450N4459650E;2011;1-5
3613450N4460350E;2011;1-5
3613450N4469450E;2011;15-20
3613450N4469550E;2011;32
3613450N4469650E;2011;20
3613450N4469750E;2011;24
3613450N4469850E;2011;21
3613450N4483450E;2011;23
3613450N4483550E;2011;25
3613450N4483650E;2011;24
3613450N4483750E;2011;35
3613450N4483850E;2011;15-20
3613450N4483950E;2011;35
3613450N4484050E;2011;23
3613450N4484150E;2011;15-20
3613450N4485150E;2011;1-5
3613450N4487150E;2011;46
3613450N4487250E;2011;15-20
3613450N4488350E;2011;5-10
3613450N4488450E;2011;65
3613450N4488550E;2011;68
3613450N4488650E;2011;29
3613450N4488750E;2011;26
3613450N4488850E;2011;20
3613450N4488950E;2011;43
3613450N4489050E;2011;15-20
3613450N4489150E;2011;5-10
3613450N4489250E;2011;20
3613450N4489350E;2011;32
3613450N4489450E;2011;20
3613550N4459850E;2011;1-5
3613550N4460350E;2011;1-5
3613550N4469450E;2011;10-15
3613550N4469550E;2011;26
3613550N4469650E;2011;27
3613550N4469750E;2011;32
3613550N4469850E;2011;29
3613550N4469950E;2011;21
3613550N4483450E;2011;5-10
3613550N4483550E;2011;33
3613550N4483650E;2011;30
3613550N4483750E;2011;5-10
3613550N4483850E;2011;10-15
3613550N4483950E;2011;15-20
3613550N4484050E;2011;33
3613550N4484150E;2011;1-5
3613550N4485150E;2011;5-10
3613550N4487050E;2011;1-5
3613550N4487150E;2011;15-20
3613550N4487250E;2011;29
3613550N4488350E;2011;1-5
3613550N4488450E;2011;65
3613550N4488550E;2011;82
3613550N4488650E;2011;21
3613550N4488850E;2011;5-10
3613550N4488950E;2011;26
3613550N4489050E;2011;25
3613550N4489150E;2011;25
3613550N4489250E;2011;5-10
3613550N4489350E;2011;40
3613550N4489450E;2011;15-20
3613650N4458450E;2011;1-5
